k=64
base_size=1.5*k ## ??  # galsim.Image(base_size, base_size)
n=3


m_zero=18.3  # 24
mag=18.3
pixel_scale=wfirst.pixel_scale


{'Y106': 276212.53389330785, 'J129': 282676.7892946346, 'F184': 183466.88869417104, 'H158': 279228.07239874348}



lam, SCA, e1, e2, e, size:  ('J129', 1, 0.027861317619681355, 0.03287345543503761, 0.04309196087142207, 1.7044116258621216)
lam, SCA, e1, e2, e, size:  ('F184', 4, 0.016157561913132668, 0.011588601395487787, 0.019883724230641924, 1.982802391052246)
lam, SCA, e1, e2, e, size:  ('F184', 5, -0.012613389641046524, -0.0028452894184738398, 0.012930323666163155, 1.9570223093032837)
lam, SCA, e1, e2, e, size:  ('F184', 6, 0.03580087795853615, 0.024423308670520782, 0.043338214880374745, 1.9995720386505127)
lam, SCA, e1, e2, e, size:  ('F184', 7, 0.024546733126044273, 0.0019591827876865864, 0.024624794503849298, 1.9744081497192383)
lam, SCA, e1, e2, e, size:  ('F184', 8, -0.0016932112630456686, -0.0003325900179333985, 0.0017255667188879273, 1.9486079216003418)
lam, SCA, e1, e2, e, size:  ('F184', 9, 0.04654274508357047, 0.010389954783022404, 0.04768834532993857, 1.9941033124923706)
lam, SCA, e1, e2, e, size:  ('F184', 10, 0.005400803871452808, 0.019943909719586372, 0.020662241344077643, 1.9896451234817505)
lam, SCA, e1, e2, e, size:  ('F184', 11, -0.009074565023183823, -0.014662903733551502, 0.017243795297421906, 1.9660570621490479)
lam, SCA, e1, e2, e, size:  ('F184', 12, 0.01784859597682953, 0.03968590497970581, 0.04351486449941369, 2.003413677215576)
lam, SCA, e1, e2, e, size:  ('F184', 13, -0.00022929400438442826, 0.02609463594853878, 0.026095643334227633, 1.9860666990280151)
lam, SCA, e1, e2, e, size:  ('F184', 14, -0.002992897061631084, -0.007565721869468689, 0.008136189539807734, 1.9620267152786255)
